LAWS70429, Philosophy of International Law
ABPL90383, Urban & Cultural Heritage Research Proj
LAWS70411, Constitutional Problems in Comparison
LAWS90024, Law-making: Legislatures and Courts
LAWS90005, Corporate Tax
BIOM90018, Research Project (MMS)
EDUC90743, Clinical Education in Practice
MUSI90221, Orchestral Performance Practicum 1
DNCE30028, Choreographic Production
CHEN90040, Sustainable Food Processing
FLTV70030, Narrative Projects 2A
POPH90285, Research Project in Public Health Part 2
ISYS90026, Concepts in Information Systems
LAWS70161, International Petroleum Transactions
ELEN90053, Electronic System Design
LAWS70366, International Refugee Law
FNCE90016, International Financial Management
POLS90053, India and the World
ABPL90321, Building the Brief: People Process Place
BMEN90031, Biomed Eng Capstone Proj Part 1
BMEN90036, Biofluid Mechanics
ABPL90440, Travelling Studio (Philippines)
CONS30002, Building Information Management
DENT90047, OMS Clinical Practice 1
ECON90075, Economic Analysis and Policy
ACTL90022, Economics for Actuaries
SCIE90002, Analytical Techniques for Biotechnology
ARTS90047, Advanced Qualitative Methods
SOCI40008, Reading Social Theory
HEBR30017, Hebrew 8
ANAT90008, Surgical Anatomy
BUSA90279, Organisational Change
ABPL90077, Introduction to Transport and Land Use
ARTS90013, Researching Media and Culture
AGRI90075, Research Methods For Life Sciences
CREA90003, Evaluation of Wellbeing in Creative Arts
ACTL90019, Data Analytics in Insurance 2
HPSC90012, Trust, Communication and Expertise
POLS40022, Politics & International Thesis Part 2
FOOD90028, Sensory Evaluation
ACCT90045, Advanced Accounting 2
LAWS70447, Executive Power
HIST40040, History Thesis Part 2
FOOD90012, Current Issues in Dairy Science
CUMC90003, Conservation Intensive
PHTY40014, Physiotherapy Science Research Project 2
MCEN30021, Mechanical Systems Design
EDUC90805, Clinical Simulation
PSYC90096, Thesis (Masters/coursework) Part 2
LAWS90229, Rethinking Construction Contracting Risk
POPH90279, Epidemiology Research Project Part 2
GEOG90051, Geography Research Project Part 4
HORT90044, Plant Health
NURS90087, Paediatric Intensive Care Nursing
FLTV90038, Creative Development Project
DENT90100, Periodontics 2
ECON40013, Monetary Economics
POLS90016, International Organisations
NURS90133, Preparing for Advanced Practice Nursing
LING90041, Projects in Applied Linguistics
DPSS20013, Production Studio 4
DENT90134, Dental Practice 1 PT2
ANSC40002, Animal Sci & Mgt Research Project Part 2
MAST90139, Statistical Modelling for Data Science
GEND90011, Gender and Development Thesis Part 1
ABPL90419, Contemporary Architectural Archives
ELEN90013, Mobile and Wireless Networks and Design
ECOM40002, Bayesian Econometrics
MCEN90008, Fluid Dynamics
MAST90027, Practice of Statistics & Data Science
TRAN90022, Translation Industry Project
PHIL20048, Values of Art
BMEN90033, Bioinstrumentation
ECON90014, Macroeconomics II
BMSC40003, Medical Biology Research Project Part 1
FNCE90087, Sustainable Investment
GEOL90025, Research Project In Geoscience
ACCT90002, Financial Statement Analysis
ABPL90153, Complex Building Energy Modelling
ABPL90390, Architectural Engineering Thesis
SCRN40019, Screen & Cultural Research Seminar
FREN30022, French 8
ECON90011, Monetary Economics
GEND40007, Gender Studies Thesis Part 2
POLS90007, US Foreign Policy
ATOC90007, Mesoscale Atmospheric Dynamics
ABPL90111, Urban Eco Acupuncture Studio
LAWS50120, The Rule of Law in Theory & in Practice
MUSI90224, Orchestral Instrument Performance 3
BMEN90040, Process Eng for Biomedical Technologies
LAWS70201, Current Issues in Administrative Law
LAWS90166, Big Data: Competition Policy and Law
